postcode,name,address
LE2 1HN,Boston Chicken and Pizza,"192 Evington Road, Leicester"
LE4 5AU,Mirch Masala,"19-21 Belgrave Commercial Centre, 160 Belgrave Road, Leicester"
LE5 2EH,Mirris,"6B Gervas Road, Leicester"
LE4 0AH,New China Town,"23a Blackbird Road, Leicester"
LE2 1TT,Pizza and Kebab Master,"57B Queens Road, Leicester"
LE4 5AS,Milky Lane Dessert Parlour,"68 Belgrave Road, Leicester"
LE5 4PD,"Mexi Pizza, Kebabs and Burgers","183 Green Lane Road, Leicester"
LE5 3TA,Royal Chicken Grill and Pizza,"57 Uppingham Road, Leicester"
LE1 3HR,Everest Dine,"61 Belgrave Road, Leicester"
LE3 0BQ,TJ's,"32 Narborough Road, Leicester"
LE3 2BJ,Rajah,"2 Hopefield Road, Leicester"
LE5 3TA,Bar B Q Base,"53 Uppingham Road, Leicester"
LE4 7BZ,Sombrero,"324 Gipsy Lane, Leicester"
LE8 4FJ,Chamelee,"Unit 2, Sycamore Street, Leicester"
LE3 0BU,Caspian Pizza,"186 Narborough Road, Leicester"
LE3 1RG,Popeye's Pizza and Burgers,"47 Wellinger Way, Leicester"
LE3 0BR,Papa John's,"64 Narborough Road, Leicester"
LE2 5BB,Leeja Palace Oadby,"13 The Parade, Leicester"
LE3 5LH,Bagos Pizza,"29-31 Braunstone Gate, Leicester"
LE5 4DA,Bombay Street Food,"8A Abbotsford Road, Leicester"
LE2 6GE,I Dragon,"99 Aberdale Road, West Knighton"
LE1 6SL,The Gourmet Burger Co,"1a Belvoir Street, Leicester"
LE2 1TU,Queens Chinese,"70 Queens Road, Leicester"
LE2 7LN,TJ's Cafe Diner,"97 Aylestone road, Leicester"
LE2 6HS,Pearl City,"88 Shackerdale Road, Leicester"
LE3 0JT,Pizza Magic And Handmade Bu...,"130 Fosse Road South, Leicester"
LE9 6RE,Fellas Takeaway,"95 Main Street, Leicester"
LE2 1HN,Jungle Paprika,"202-204 Evington Road, Leicester"
LE1 6DN,Pepe's Peri Peri,"41 Market Street, Leicester"
LE5 4BQ,Ming's Cottage,"197 Uppingham Road, Leicester"
LE2 1XL,Chilli Corner,"190 Howard Road, Leicester"
LE18 4PL,Pizza Oven,"33 Canal Street, Wigston"
LE18 4PB,Tandoori Kitchen,"87 Blaby Road, South Wigston"
LE2 7NE,Royale Pizzas and Burgers,"216 Saffron Lane, Leicester"
LE2 1XL,Spicy Vegetarian,"188 Howard Road, Leicester"
LE8 4FD,The New Blaby Balti,"1 Cross Street, Leicester"
LE3 5GE,Hassans Balti,"8 Woodgate, Leicester"
LE19 2DG,Cardamom Lounge,"58 Leicester Road, Leicester"
LE2 2DA,House of Desserts,"6 Allandale Road, Leicester"
LE2 0QS,Pepe's Piri Piri,"112 London Road, Leicester"
LE2 1QJ,Pizza Cottage,"155A Evington Road, Leicester"
LE18 4PB,Krispyland Chicken and Grill,"71 Blaby Road, Leicester"
LE2 6LN,Taste of Bengal,"36 The Fairway, Leicester"
LE4 5AS,Square Pizza Company,"58 Belgrave Road, Leicester"
LE1 3GR,Alivel's,"120 Belgrave Gate, Leicester"
