postcode,name,address
LS8 1AA,Bengal Spice,"143 Street Lane, Roundhay"
LS7 4LA,Chefs,"50 Harrogate Road, Chapel Allerton"
LS8 3AY,Chickato's,"128 Dib Lane, Leeds"
LS6 3AW,Tariq's,"10A St. Michaels Road, Leeds"
WF17 5PH,Lahori Chaska,"365-367 Bradford Road, Batley"
LS11 8RP,El's Gourmet,"38 Beeston Road, Leeds"
LS12 3AQ,Papa Gino's,"19 Branch Road, Leeds"
WF17 5DA,Market Fisheries,"2 Market Place, Batley"
WF12 9PP,Muchachos,"17 Mill Street West, Dewsbury"
LS4 2JT,Alisha's,"2 Bankfield Rd, Leeds"
LS12 3BG,Lite Bowls,"260 Tong Road, Leeds"
WF13 1LY,Mims Restaurant and Takeaway,"5 Wellington Street, Dewsbury"
WF13 1EL,Shake 'N' Stir,"2 Bradford Road, Dewsbury"
LS12 3HU,Emma's Sandwich Shop,"12 Wortley Road, Leeds"
WF17 9ES,The Fish Pond,"5 High Street, Batley"
WF13 2HD,Steak Stop,"1A Bradford Road, Dewsbury"
LS11 7JX,Dragon Palace,"400 Dewsbury Road, Beeston"
WF17 6NB,Just Desserts,"84 Soothill Lane, Batley"
WF17 7BG,Peppers,"48 Thorncliffe Estate, Batley"
LS6 3AW,Kismat,"16 St Michaels Road, Leeds"
LS4 2JT,Tandoori Express,"2 Bankfield Rd, Leeds"
WF17 8NN,Cafe Orange,"The Break Room Unit 17 Wilton Industrial Court 851 Bradford Road, Batley"
BD2 4NT,Lotus Flavour,"57 Idle Road, Bradford"
LS12 4DX,La Fraz,"78 Oldfield Lane, Leeds"
LS12 2TE,Premier Pizza,"23 Raynville Road, Leeds"
LS5 3AW,Pizza Connection and Balti ...,"45 Commercial Road, Kirkstall"
LS12 3UF,Delights Delivered,"Unit 4 Gelder Road, Leeds"
BD18 3SR,Shama Restaurant,"2A Commercial Street, Shipley"
BD3 9DB,Rawal,"254a Barkerend Road, Bradford"
LS27 8DX,Dixy Chicken,"79 Queen Street, Morley"
LS28 6EZ,Pizza Palace,"108 Town Street, Pudsey"
LS3 1DT,Angelo's,"28 Woodsley Road, Hyde Park"
LS12 3HG,Desi Sizzlers,"147 Town Street, Leeds"
LS6 1HY,Charlie Chan's,"49-55 Queens Road, Hyde Park"
LS6 1HY,China Town,"59 Queens Road, Leeds"
LS12 2TF,Oriental,"21 Raynville Road, Bramley"
LS6 1HY,Yum Yum Noodle Bar,"51 Queens Road, Hyde Park"
BD8 7DT,Sals Pizza,"200 Mannigham Lane, Bradford"
LS8 5PB,Deli Delight,"52 Harehills Road, Leeds"
LS6 1HY,Bamboo Garden,"43b Queens Road, Hyde Park"
LS7 3HY,Fusion Gelato,"111 Chapeltown Road, Leeds"
LS12 1LZ,Fat Olives Pizza Company,"54 Tong Road, Leeds"
LS6 2NY,Redsea 7 Spices,"203-205 Woodhouse Street, Leeds"
LS7 1LW,Island Grill Caribbean Cuisine,"33 Blackman Lane, Leeds"
LS6 1EG,Zulfi's,"66 Brudenell Road, Leeds"
LS7 2LR,Ruchee,"219 Stainbeck Road, Leeds"
LS6 1HY,Jackie Chan's,"59 Queens Road, Leeds"
LS6 1EG,Sim's Diner,"62 Brundenell Road, Leeds"
LS8 5PL,Zidane's Indulgence treats ...,"162 Roundhay Road, Leeds"
LS4 2HD,Shanghai,"335A Kirkstall Road, Leeds"
LS7 3QY,Casa Mia,"10 Stainbeck Lane, Chapel Allerton"
LS6 2NW,Oranaise Cafe,"1 The Crescent, Hyde Park"
LS6 2NW,Mardin,"14 The Crescent, Hyde Park, Leeds"
LS1 6PQ,Le Tranquillite Arabic and ...,"10 Merrion Street, Leeds"
LS6 1PY,Alkhaleej,"27 Hyde Park Road, Leeds"
LS6 1QT,China Dinner,"25 Alexandra Road, Burley"
LS7 3QY,Mad Greek Deli and Grill House,"14 Stainbeck Lane, Leeds"
LS6 2NY,Pizza Pazza,"191 Woodhouse Street, Leeds"
LS6 3HW,Sakura,"21 North Lane, Headingly, Leeds"
LS4 2SX,Talia Pizzeria,"172 Kirkstall Hill, Leeds"
LS16 7NR,Jafran,"469A Otley Road, Leeds"
LS4 2HQ,Taste,"378 Kirkstall Road, Leeds"
LS4 2HD,Cooky's,"333 Kirkstall Road, Leeds"
LS2 9DZ,Lucky's,"81 Raglan Road, Hyde Park"
LS6 3HP,Thai Sabai Restaurant,"2 The Parade, North Lane, Headingley"
LS6 1LJ,Grove Cafe,"133-135 Cardigan Road, Leeds"
LS7 3HP,Cabin Caribbean Cuisine,"7 Reginald Row, Leeds"
HG1 1UE,Pizza Parada,"20 Station Parade, Harrogate"
LS8 3JT,Fat joes,"4 Amberton Approach, Leeds"
LS8 2RY,Master Chef,"143 Easterly Road, Gledhow"
LS23 6BT,Ali's Kitchen,"188A High Street, Boston, Wetherby"
LS22 6LR,Wetherby Spice,"21 High Street, Wetherby"
LS17 5JD,Pizza Marino,"63 Cranmer Bank, Moortown"
LS17 6HQ,Moortown Tandoori,"383 Street Lane, Moortown"
LS14 6EB,Siciliano Curry Hut,"3-5 Dufton Approach, Leeds"
LS6 4HZ,Pizza Roma,"17 Stonegate Road, Meanwood"
LS18 4LZ,Pizza King and Corriander,"1 Sunnybank Avenue, Horsforth"
LS8 3JT,Big Mama's,"2 Amberton Approach, Leeds"
LS14 5ES,Mojo's,"40 Langbar Gardens, Leeds, Whinmoor"
LS18 5NY,Shashlik,"249 Low Lane, Horsforth"
LS12 2RF,Lucky Chopstix,"138 B Stanningley Road, Bramley"
LS18 4AP,Dixy Chicken,"58 Town Street, Horsforth"
LS18 5BP,Chicago Pizza and Balti Bazaar,"93 Town Street, United Kingdom"
LS7 2PR,Happy House,"103 Stainbeck Road, Leeds"
LS16 7NR,Berry's Gelato,"479 Otley Road, Leeds"
LS16 6DX,Raja's Spice Grill,"12 Silk Mill Drive, Leeds"
LS21 3HJ,Best Kebab,"22 Kirkgate, Otley"
LS16 5LN,Spice Fusion,"275 Otley Road, West Park"
LS29 7BT,Red Chilli,"78-80 Main Street, Ilkley"
LS20 8AH,Pizza House Company,"8 Otley Road, Guiseley, Leeds"
LS20 9AS,Indian Spice,"2 Oxford Road, Guiseley"
LS29 6ED,Royal Bengal,"146 Bradford Road, Menston"
WF17 5BH,Raz'z Diner,"2A Purlwell Lane, Batley"
LS12 2RD,Di Carlo,"304 Armley Ridge Road, Leeds"
WF17 5DH,Ali's Fast Food and Indian ...,"137 Upper Commercial Street, Batley"
LS11 7JX,American Fried Chicken,"398a Dewsbury Road, Leeds"
WF17 9EY,Shahenshah,"55 Low Lane, Birstall"
BD11 1EJ,Kamran's,"77 King Street, Drighlington"
WF17 5PH,Sizzlers,"375 Bradford Road, Batley"
BD5 0DQ,Cyrus Persian,"25 Claremont Terrace, Bradford"
LS12 3HD,The Great Wall,"93 Town Street, Leeds"
WF17 5LQ,Franko's Pizza and Currys,"24 Bankfoot Place, Wakefield"
BD2 1JN,Chutneez,"51 Swain House Road, Bradford"
LS18 5NY,Golden Bengal,"291 Low Lane, Leeds"
LS13 3EG,Flames Tandoori,"316 Stanningley Road, Bramley"
BD2 2JU,MacDonners,"174 Norman Lane, Bradford"
LS5 3AW,Fat Francos and Charlis Cha...,"45 Commercial Road, Kirkstall"
LS20 8AH,The Green Chilli Food To Go,"50 Otley Road, Leeds"
BD4 8QA,Simla Spice,"53 Sticker Lane, Bradford"
LS12 3AP,Mr Wong's Magic Wok,"1 Stanningley Road, Armley"
LS12 2RF,Pizza Box,"138 Stanningley Road, Armley"
LS12 2RF,Wok 2 China,"140 Stanningley Road, Bramley"
LS12 2RF,Caesars,"144 Stanningley Road, Bramley"
LS5 3QT,Mumbai Chef,"73 Vesper Road, Leeds"
LS16 5EL,Zayka Food Bar,"75 Spen Lane, West Park"
BD2 1PT,Wrose Balti and Pizza,"219 Wrose Road, Bradford"
BD10 0RA,Kipling's,"834-836 Harrogate Road, Bradford"
LS12 2RD,Shalimar,"310 Armley Ridge Road, Leeds"
BD4 9QS,Maya's,"311 Tong Street, Bradford"
LS12 1XD,Green Spice,"53 Town Street, Leeds"
LS6 1HY,Amazing,"43-61 Queens Road, Burley"
LS6 1EG,Munch Mania,"62 Brudenell Road, Hyde Park"
LS12 2ND,Zainus,"61 Ledgard Way, Leeds"
LS4 2HQ,Azad Tandoori,"374 Kirkstall Road, Leeds"
LS12 2PU,Sicily's,"Canal Road, Armley"
LS6 3HU,Gangster's,"52b North Lane, Leeds"
LS8 5NA,Flava Delight,"144 Roundhay Road, Leeds"
LS6 4HZ,Cafe Denero's,"17 Stonegate Road, Leeds"
LS8 5QQ,Rang Taste Of Asia,"2 Bayswater Crescent, Leeds"
LS2 9HD,Rustica Pizzeria and Gourme...,"30 Blenheim Terrace, Leeds"
LS6 2NW,Symposium,"8 The Crescent, Hyde Park, Leeds"
LS4 2HQ,Spice Hut,"362 Kirkstall Road, Leeds"
LS6 1HY,Oriental Wok @ Ahmed Grill ...,"49 Queens Road, Hyde Park"
LS7 2PA,Bad Boy Burgers LS7,"16A Stainbeck Avenue, Leeds"
LS6 1PY,Express Biryani,"27 Hyde Park Road, Leeds"
LS9 6LQ,The Grill Co,"507 Harehills Lane, Leeds"
LS6 3AW,Naly Pizza,"1 St. Michaels Road, Leeds"
LS11 8TU,Chico's,"257 Elland Road, Leeds"
LS2 7DY,Little Oven,"48 New York Street, Leeds"
LS9 0AZ,Yum Yum,"6b Easy Road, Leeds"
BD2 4QL,Rehman's Fast Food,"503 Otley Road, Bradford"
LS2 9DZ,Balti King,"69 Raglan Road, Woodhouse"
WF16 0JJ,Indicano,"24 Market Street, Heckmondwike"
LS27 8JP,Shezzaan's,"30-32 Chapel Hill, Leeds"
LS21 1BT,Super Wok,"60 Leeds Road, Otley"
LS17 6LY,Pizza House Company,"302 Harrogate Road, Moortown"
WF17 6NB,Grill and Chill,"84 Soothill Lane, Batley"
LS27 9DF,Saffron Desi,"Dawson House, Dawson Hill, Morley"
LS27 8SF,Valentino's Pizza,"28 Albert Drive, Leeds"
WF17 5HH,Picasso Pizza,"16 Comercial Street, Batley"
WF13 2JN,Moonlight,"14 Halifax Road, Dewsbury"
WF2 9BS,Wakefield Pizza and Kebab,"2A Dewsbury Road, Wakefield"
WF17 5PH,Sizzling Platter,"377 Bradford Road, Batley"
WF17 9EW,Star Pizza,"11 Low Lane, Birstall"
WF17 5DA,Cha-Cha Pizza,"8 Market Place, Batley"
LS27 0LQ,Anmol,"18 Bruntcliffe Road, Morley"
LS11 7JX,Pizza Pizza,"398a Dewsbury Road, Leeds"
LS27 7SS,Pizza Pot and Curry Hut,"32 Elland Road, Churwell"
LS14 6EB,Dario's,"3-5, Dufton Approach, Leeds"
WF11 8EA,Khan's,"13 Hill Top, Knottingley"
LS8 3AY,Special One,"128 Dib Lane, Leeds"
WF8 2LY,Livorno Tandoori Balti,"3 Orchard Head Lane, Pontefract"
LS24 9AW,Pizza Capana,"5 Bridge Street, Tadcaster"
LS25 6EA,Great Wall,"12d Finkle Hill, Sherburn-In-Elmet"
LS15 8HU,Spice Zone,"67 Pendas Way Cross Gates, Leeds"
LS13 4LG,Pizza Corner,"84 Henconner Lane, Leeds"
WF11 0JG,Pizza Heaven,"36A, Spawd Bone Lane, Knottingley"
LS18 4QD,Yorkshire Charcoal,"99 New Road Side, Horsforth"
LS27 8EG,Tasty Balti,"15 Queen Street, Morley"
LS12 2RF,Mother India,"140 Stanningley Road, Leeds"
LS12 2RF,Megabites,"144 Stanningley Road, Bramley"
BD10 0QY,Chilli Chicks,"909 Harrogate Road, Bradford"
LS12 2RF,Billy Walton's,"138a Stanningley Road, Armley"
LS12 2RF,Pizza King,"138c Stanningley Road, Armley"
LS28 6EZ,Abids,"116 Town Street, Stanningley"
WF1 5DA,Topa Takeaway,"241 Doncaster Road, Wakefield"
WF1 3BG,Renee’s Kitchen,"15-19 Providence Street, Wakefield"
WF1 3BG,Casa Loca,"4-6 Providence Street, Wakefield"
LS15 8DX,Papa John's,"54 Austhorpe Road, Cross Gates"
WF1 2DY,Indianos,"3 Leeds Road, Wakefield"
WF1 3PD,Kashar Asian Food Takeaway,"56 Duke of York Street, Wakefield"
WF3 2JL,Julie's Kitchen,"122 Bradford Road, East Ardsley, Wakefield"
LS11 7DL,Crown Pizza Bar,"130 Tempest Road, Leeds"
LS11 5HN,Raja's Pizza Bar,"271 Dewsbury Road, Leeds"
WF10 1EE,Sizzlers,"104 Carlton Street, Castleford"
LS8 5RL,Raja's Pizza Bar,"248 Roundhay Road, Roundhay"
LS2 8JE,Shawarma King,"19 Merrion Street, Leeds"
LS2 8JD,Chicko's,"51d New Briggate, Leeds"
LS14 6AX,Rockfords,"859 York Road, Leeds"
LS6 2NY,Hadramout Restaurant,"203/205 Woodhouse Street, Leeds"
LS4 2HQ,East Ocean,"378 Kirkstall Road, Leeds"
WF10 1AF,Megabites,"8c, Sagar street, Castleford"
LS3 1LD,Adil's Pizza and Balti House,"3 Burley Street, Leeds"
LS7 4JA,Raj Pizza Corner,"9 Newton Parade, Chapeltown Road, Leeds"
LS6 1RF,Luciano's,"25 Alexandra Road, Leeds"
LS4 2HQ,China Dragon,"378 Kirkstall Road, West Yorkshire"
LS3 1DT,Jet Lee,"50A Woodsley Road, Leeds"
LS7 1AB,Nom Nom Kitchen,"2 Manor Street, Leeds"
LS12 3BG,Facefood,"270a Tong Road, Leeds"
LS3 1DT,Double Dragon,"40 Woodsley Road, Leeds"
LS6 4HZ,Shawarma Al Shami,"LS6 4HZ, Leeds"
LS6 1HY,New Georges Spice,"45 Queens Road, Burley"
LS3 1LD,Pizza La Fonte,"1 Burley Street, Leeds"
LS6 1LU,Mogador,"142 Cardigan Road, Leeds"
LS11 9SG,Prestos Pizza,"134a Domestic Street, Leeds"
LS8 3RG,Dawn's Pizzas,"267 Harehills Lane, Leeds"
LS7 3HY,Ozmo's,"109 Chapeltown Road, Leeds"
LS4 2HQ,Venezia,"374 Kirkstall Road, Kirkstall"
LS6 1HX,Royal Fisheries,"42c Royal Park Road, Leeds"
LS8 3RG,Peri Peri Charcoal Grill,"255 Harehills Lane, Harehills"
LS12 3BG,Bilals,"238 Tong Road, Leeds"
LS11 6AU,Ali's,"1 Tempest Road, Beeston, Leeds"
WF3 1TW,Tingley Balti House,"Unit 5, Lowry Road, Wakefield"
LS15 7JX,Gelato Dreams,"18 Station Road, West Yorkshire"
LS11 7JX,Pizza Way and Tandoori Grill,"398 Dewsbury Road, Leeds"
WF6 2AR,Arooje,"18-20 Market Street, Normanton"
LS9 8RU,George's,"81 Ellerby Lane, Leeds"
LS7 1AB,Punjab Catering,"20 Roundhay road, Leeds"
LS15 8LJ,Garden Spice,"27 Kingswear Parade, Leeds"
LS26 8ST,The Topa Balti,"4 Kitchener Street, Leeds"
WF10 4QF,Pizza Base,"51 Front Street, Castleford"
LS11 7DJ,Howdy,"322A Dewsbury Road, Leeds"
LS11 5HN,Grill Inn,"279 Dewsbury Road, Beeston"
WF10 1EN,Donerz,"28 Albion Street, Castleford"
WF10 1EE,The Thrill of the Grill,"86 Carlton Street, Castleford"
WF1 2DY,Hai Loi Tang,"2 Cobham Parade, Leeds Road, Wakefield"
WF10 5DY,Panda Pizza,"161 Aketon Road, Castleford"
LS11 5DA,Indian Fusion,"675a Dewsbury Road, Leeds"
LS25 1AF,Mumbai Kitchen,"121 Main Street, Leeds"
WF10 5BW,Adeel's,"12 Beancroft Road, Castle Ford"
WF10 1EE,Pizza Canoe,"100 Carlton Street, Normanton"
LS6 1HY,Uni Pizza,"45 Queens Road, Burley"
LS11 7DL,King Kebab,"130A Tempest Road, Leeds"
LS11 7DJ,Gelato Passion,"342 Dewsbury Road, Leeds"
WF10 1EW,Crown Pizza,"6 Albion Street, Castleford"
LS9 6DP,Gee Pizza,"43 Sutherland Road, Leeds"
LS11 5NW,Sky Pizza Bar,"159 Dewsbury Road, Leeds"
LS6 1HY,Chopsticks,"43 Queens Road, Hyde Park, Leeds"
AB24 2EE,Spiceation,"495 Great Northern Road, Aberdeen"
AB24 2RN,Qismat 2,"63 Hayton Road, Aberdeen"
LS6 1JG,Test Test Load 86,"Mohrenstrasse 60, Leeds"
LS6 1JG,Test Test Load 26,"Mohrenstrasse 60, Leeds"
LS6 2QF,Test Test Load 12,"Mohrenstrasse 60, Leeds"
LS6 2TL,Test Test Load 37,"Mohrenstrasse 60, Leeds"
LS6 2TL,Test Test Load 97,"Mohrenstrasse 60, Leeds"
LS6 2QF,Test Test Load 72,"Mohrenstrasse 60, Leeds"
AB39 3TZ,Newtonhill Tandoori,"10 Old Mill Road, Aberdeen"
AB10 6BR,Papa John's,"75 Holburn Street, Aberdeen"
AB21 0HW,The Raj Spice,"Burnside Drive, Aberdeen"
AB11 6DP,Grill and Meze House,"23 Bonaccord Terrace, Aberdeen"
AB11 9BE,Good Taste,"52A Menzies Road,, Aberdeen"
AB11 6EP,Marco's Fast Food,"62 Justice Mill, Old Aberdeen"
AB10 1JG,Uncle Sabino's,"9A Little Belmont Street, Aberdeen"
AB14 0UD,Cafe Bombay,"144a North Deeside Road, Aberdeen"
AB25 3XX,Little Italy Pizza,"551 George Street, Aberdeen"
AB12 3BE,O Kitchen,"Craigshaw Drive, Aberdeen"
AB10 1JR,Mamma Pizza Homemade Food,"11-13 Belmont Street, Aberdeen"
AB11 6JN,Amina,"36 Bridge Street, Aberdeen"
AB51 0GJ,Spice Cottage,"south road, Oldmeldrum"
AB11 6HD,Sai Gon Restaurant,"29a Crown Terrace, Aberdeen"
AB15 6TW,Papa John's,"Unit 10 Summerhill Court Lang Stracht, Aberdeen"
AB11 6DX,To Buy Fish and Chips,"7-9 Langstane Place, Aberdeen"
AB10 1JR,Belmont Kebab and Pizza,"5 Belmont Street, Aberdeen"
AB25 1ER,New Big Wok,"411-413 George Street, Aberdeen"
AB11 6LN,Shanghai,"1-3 Portland Street, Aberdeen"
AB10 1SQ,Bodrum Kebab House,"9A Chapel Street, Aberdeen"
AB10 1JR,Shri Bheema's,"15-17 Belmont Street, Aberdeen"
AB10 1BA,The Tastie Tattie,"22 Upperkirkgate, Aberdeen"
AB11 6JN,An-Noor,"32 Bridge Street, Aberdeen"
AB11 5NX,Get Stuffed,"Unit 37 8-10 Market Street, Aberdeen"
AB11 6JN,Fuse Box,"44 Bridge Street, Aberdeen"
AB22 8LX,Shri Bheema's,"Parkway Inn, Balgownie Road, Bridge of Don"
AB24 3PW,Pizza Delivery,"5 Elmbank Terrace, Aberdeen"
AB16 7DB,Ayaan Tandoori,"21 Moir Crescent, Aberdeen"
AB23 8EB,Shish Tandoori,"9 Ellon Road, Bridge of Don, Aberdeen"
AB24 2BD,Papa John's,"475 Great Northern Road, Aberdeen"
AB16 5QN,Smart Nepal,"15 Stocket Parade, Aberdeen"
AB25 3XL,AJ's,"554 George Street, Aberdeen"
AB10 6DB,Papa Pizza,"236 Holborn Street, Aberdeen"
AB11 6EN,Maya Indian Takeaway,"48 Langstane Place, Aberdeen"
AB24 5AX,La Lombarda,"2-8 King Street, Aberdeen"
AB24 3HX,Khyber Pass,"143 Spital, Aberdeen"
AB24 3PW,Royal Masala,"5 Elmbank Terrace, Aberdeen"
AB16 7GS,Reddys Fish Bar,"43 Moir Green, Aberdeen"
AB24 2EE,Peking Garden,"489 Great Northern Road, Aberdeen"
AB11 6JJ,Ambal's Restaurant,"4 Bridge Street, Aberdeen"
AB25 1BS,Rishi's Indian Aroma,"210-212 George Street, Aberdeen"
AB25 2YW,Currymount,"112 Rosemount Place, Aberdeen"
AB21 9LJ,Little Malaya,"25 Inverurie Road, Aberdeen"
AB11 9ND,Asian Taste,"175 Victoria Road, Aberdeen"
AB16 5UT,Shawarma Persian and Lebane...,"Unit 5 Cornhill Shopping Arcade, Aberdeen"
AB10 1SA,Rustico's Takeaway,"62 Union Row, Aberdeen"
AB24 4RZ,Gurkha Curry House,"Unit 3, Clifton Road, Aberdeen"
AB10 1TX,Caspian Pizza,"11a Rose Street, Aberdeen"
AB24 5PS,Cinnamon @ Home,"1 Merkland Road East, Aberdeen"
AB14 0TB,Culter Curry House,"25-27 School Road, Peterculter"
AB24 2DU,Asiana Kitchen,"699 Great Northern Road, Aberdeen"
AB11 5BL,Goulash Hungarian Restaurant,"17 Adelphi, Aberdeen"
AB24 2DB,Noors Grill,"615 Great Northern Road, Aberdeen"
AB24 5AE,Lahore Karahi,"145 King Street, Aberdeen"
AB32 6FS,Lasan Indian Brasseriez,"Unit 2, Westhill Drive, Westhill"
AB11 6HS,Golden Crown,"150 Crown Street, Aberdeen"
LS7 3JL,Test Test Load 32,"Mohrenstrasse 60, Leeds"
LS7 3JL,Test Test Load 92,"Mohrenstrasse 60, Leeds"
LS2 3AB,Test Test Load 115,"Mohrenstrasse 60, Leeds"
LS2 9JP,Test Test Load 35,"Mohrenstrasse 60, Leeds"
LS2 8AR,Test Test Load 39,"Mohrenstrasse 60, Leeds"
AB24 2EE,Blue Spices,"493 Great Northern Road, Aberdeen"
LS2 9JP,Test Test Load 95,"Mohrenstrasse 60, Leeds"
LS2 3AB,Test Test Load 55,"Mohrenstrasse 60, Leeds"
LS2 8AR,Test Test Load 99,"Mohrenstrasse 60, Leeds"
AB24 2BD,Chung Hwa,"473 Great Northern Road, Woodside"
AB25 1ER,Gurkha Kitchen,"409 George Street, Aberdeen"
BB5 5NX,Khwaja Spice,"8 Barnes Square, Clayton-le-Moors"
BL3 5PX,24 Karat Chippy and Grill,"1 Wigan Road, Bolton"
BB4 9AG,Indian Kitchen,"43 Burnley Road East, Rossendale"
BB4 7EU,Zorba Balti,"707 Bacup Road, Rossendale"
BB4 5ST,Chesters,"32 Manchester Road, Haslington"
M27 0NS,Indian Express,"133 Partington Lane, Swinton, Manchester"
BL1 8DU,Fusion,"290 Blackburn Road, Bolton"
M27 0LE,Alizak's,"172 Moorside Road, Swinton"
M27 4ET,Swinton Balti Express,"590 Bolton Road, Swinton"
M27 8FH,Osechi,"664a Bolton Road, Pendlebury"
CH63 7NX,Mr Pizza,"158c Bebington Road, Merseyside"
L20 4JB,Via pizza,"97 Marsh Lane, Liverpool"
BL3 1HH,Turkish Grill,"31 Market Street, Bolton"
L17 8UW,Takeaway land,"35 Lark Lane, Liverpool"
BL3 3PZ,Dallas Chicken Mirchi Grill...,"254 St Helens Road, Bolton"
WA10 5JW,Fantastico,"99 Walmesley Road, Helens"
L7 4JG,Raggas Caribbean,"58 Smithdown Road, Liverpool"
M27 4AR,Swinton Balti House,"8 Pendlebury Road, Manchester"
CH45 4LB,Carlito's Pizza,"88-90 Seaview Road, Wallsey"
L33 7SL,Curry Pot,"34 Lees Road, Unit 2, Acorn Business Centre, Liverpool"
CH41 0DF,Fusion Bar and Grill,"28 Upton Road, Birkenhead"
L20 3BY,Tastebuds,"13A Litherland Road, Bootle"
CH41 0DF,Spice,"38 Upton Road, Birkenhead"
L15 4LD,Jamaican Caribbean Tasty Food,"1 Picton Road, Liverpool"
L15 8HE,Perry's Chicken and Pizza,"23 High Street, Liverpool"
L13 6RQ,Green Lane Butty Bar,"183-185 Green Lane, Liverpool"
L11 2SF,All Day Breakfast Bar,"227 Lower House Lane, Liverpool"
L14 5ND,Little Deli Cafe,"154 East Prescot Road, Liverpool"
L4 0UQ,Royal Star,"138 Oakfield Road, Anfield"
L13 6QQ,Zeera,"164 Derby Lane, Liverpool"
L13 6RQ,Lazio Pizza,"181 green lane, Stoneycroft"
L27 0YA,Belle Pizza,"Unit 27, Wheathill Industrial Estate, Holt Lane, Netherley, Liverpool"
L13 5SD,Frankyz,"5 Broad Green Road, Liverpool"
L12 2AG,Pizza Oscar,"205 Eaton Road Liverpool, Liverpool"
L14 1PW,Franky's,"16 East Prescot Road, Old Swan"
L13 5SA,Rizo Pizza,"9 St. Oswald's Street, Old Swan"
L25 1PZ,Mario Pizza,"140 Hartsbourne Avenue, Childwall"
L13 5XG,Dixy Fried Chicken,"698 Prescott Road, Liverpool"
L13 5UX,Freddy's Chicken and Pizza,"577 Prescott Road, Liverpool"
L13 5UF,Chong Hua,"52 Oakhill Road, Old Swan"
L36 2QA,Pizza Kings,"11 Kingsway, Liverpool"
WA10 1NW,Papa John's,"56-58 Bridge Street, St. Helens"
L34 5SB,Little Mary's Cafe,"50 Market Place, Liverpool"
L13 3DB,Casa Pizza,"470 Prescot Road, Liverpool"
L12 8SN,Don Ciccio,"148 Town Row, Liverpool"
WA10 6SH,Dentons Deli,"125B Greenfield Road, St Helens"
L35 5BZ,Thai Delight,"60a Shaw Lane, Whiston"
WA9 5PE,Chicken Hut,"124 Thatto Heath Road, St. Helens"
BL3 6PD,La Jawaab Pizza and Deli Bar,"285 Lever Street, Lancashire"
L12 6QX,Pizza perfect,"70 Baycliff road, Liverpool"
WA10 4HA,Vindaloo Express,"84 Cambridge Road, St Helens"
L36 2PA,Huyton Tandoori,"4 Page Moss Parade, Page Moss"
WA9 1DA,Don Mario,"131 Higher Parr Street, St Helens"
WA8 6JT,Shazna,"86 Albert Road, Widnes"
L14 2DD,Khan's,"313 East Prescot Road, Knotty Ash"
L35 8LD,Mei's Garden,"369 Warrington Road, Prescot"
L35 5BZ,China Delight,"60 Shaw Lane, Whiston"
WA10 1PY,St.Helens Fried Chicken + P...,"22 Water Street, St Helens"
WA10 1SX,Milano's,"103 Corporation St, St. Helens"
WA10 1DL,Ruan Thai Asian Fusion,"24 Hall Street, Saint Helens"
WA9 5PE,Buono Pizza,"124 Thatto Heath Road, St Helens"
L4 2SH,Amalfi,"80 Priory Road, Liverpool"
L14 5NG,Anmol Indian Takeaway,"204 East Prescot Road, Knotty Ash"
WA10 1QA,L'amore Pizza,"25 Westfields Street, St Helens"
L15 5AH,Zain's Grill,"250 Smithdown Road, Liverpool"
WA10 4PZ,The Crispy Cod,"175 Knowsley Road, St. Helens"
L12 6QX,Raj Curry House,"70 Baycliff Road, Liverpool"
L11 7BY,Joanies Cafe,"161 Walton Hall Avenue, Norris Green, Liverpool"
L15 3JL,Babylon Grill,"417 Smithdown Road, Wavertree"
L13 0AJ,Milano,"98 queens drive, Liverpool"
L13 7BB,J's Pizza Stop,"93 Green Lane, Liverpool"
CH63 8QT,The Mediterranean Kitchen,"116 Teehey Lane, Wirral"
L35 2XZ,Pizza Queen,"32a Milton Avenue, Whiston"
WA8 0AX,Raj Tandoori,"210 Warrington Road, Widnes"
L7 9LQ,Fajitas Mexican Bar and Grill,"373 Edge Lane, Liverpool"
L13 9DG,Reemona Pizza,"201 Townsend Lane, Liverpool"
L4 3QH,Urban Chicken and Pizza,"38, County Road, Walton, Liverpool"
L13 4AH,Sheefa's Pizza,"130 Mill Lane, Old Swan"
L20 2DQ,Franky's,"53 Hawthorne Road, Bootle"
L6 0BA,Jasmine's Indian and Sri La...,"36-38 Townsend Lane, Liverpool"
L5 7QD,Torino's,"249 Stanley Road, Kirkdale"
L6 4BB,Pyramid's Pizza,"101 Rocky Lane, Anfield"
L4 2QS,Little Italy Pizza,"55 Breck Road, Anfield"
L4 0UE,Milk Sheikhs,"51 Oakfield Road, Liverpool"
L4 3QL,Wingbox,"50 County Road, Liverpool"
L12 5HJ,Mexican Village,"Unit 1, 7A West Derby Village, Liverpool"
L13 8AE,Golden Wok,"587A West Derby Road, Liverpool"
L33 7SL,Marios Pizza,"34 Lees Road, Liverpool"
L15 3JJ,Bumper Chicken,"341 Smithdown Road, Liverpool"
L13 9BS,Mom's Pizza,"16 Larkhill Place, Liverpool"
L17 0BP,Pizza Choice,"3 Aigburth Road  Aigburth, Liverpool"
L17 9PJ,Eat Well,"256 Aigburth Road, Aigburth"
L13 8AA,Lazeez,"533 West Derby Road, Tuebrook"
L15 3JL,4FIVE3,"453 Smithdown Road, Liverpool"
L8 0QW,Nasi Lemak Liverpool,"188 Lodge Lane, Toxteth"
